LUI,plot,time,MB13C,MB15N,mbc,mbn,soilCf,soilCb,soilNf,soilNb
High_intensity,a,3,40.87881422,21.90902427,45.31400181,3.592288582,1.528032257,2.346357581,0.739295674,1.099925722
High_intensity,b,3,27.53872466,8.845330516,55.47724348,2.589932353,1.120595942,1.806964596,0.579404383,0.950813068
High_intensity,c,3,51.06268959,37.17955238,65.32361534,5.244007756,1.3907687,2.271521307,0.735404059,1.169343919
High_intensity,d,3,53.0058153,29.21826607,50.11323835,4.103791705,1.295660383,1.740884136,0.633544083,0.945831265
High_intensity,e,3,33.10190948,44.03353457,44.65875251,4.709968894,1.186314042,1.799618399,0.590915483,0.907677219
Low_intensity,f,3,42.19623943,7.517234052,28.9122585,2.206353683,1.177455652,1.898929617,0.558134633,0.914901938
Low_intensity,g,3,32.6978988,24.20188558,35.79486964,3.969600892,1.12702432,1.831473725,0.636047889,0.892163012
Low_intensity,h,3,78.19240146,49.85321443,48.44765155,5.167129899,1.514377543,3.162358493,0.830302895,1.393062695
Low_intensity,i,3,42.40291451,32.87675567,61.14994024,4.638104322,2.101817939,2.499781129,0.869672807,1.106485792
Low_intensity,j,3,51.00420906,36.76240697,43.48872872,6.170137693,1.26790618,1.755377341,0.575856495,0.8690546
High_intensity,a,21,55.32251113,32.24644833,85.21875722,6.430238612,0.929574487,1.448354182,0.55894272,0.707801716
High_intensity,b,21,96.45225461,29.22726386,109.85218,7.714162793,1.043920754,1.736205396,0.667229671,0.996663248
High_intensity,c,21,65.94824753,28.98555431,72.62764251,5.360327117,0.909474784,1.436356997,0.652143556,0.935692306
High_intensity,d,21,78.5162432,34.9548848,77.96046549,6.017228358,1.025131887,1.591869418,0.678901129,1.027821071
High_intensity,e,21,53.44216548,17.76387409,71.50883419,5.667276457,0.819557903,1.301198073,0.535667125,0.766044254
Low_intensity,f,21,38.1123757,10.91124538,40.55468162,4.134800107,1.057098034,1.546855089,0.493558356,0.637533761
Low_intensity,g,21,36.75475911,10.65480865,46.01229921,4.169486761,0.881518422,1.328276477,0.783454027,0.6429739
Low_intensity,h,21,34.00089164,6.812569708,46.66846876,3.558542856,0.852206547,1.105107706,0.462873936,0.630736224
Low_intensity,i,21,46.32639314,20.42185921,71.8047458,5.866959492,1.093462029,1.587775724,0.614675548,0.888180917
Low_intensity,j,21,43.19659452,22.46410263,55.97761644,5.089952077,1.081827678,1.307504289,0.517401242,0.612865503
High_intensity,a,92,35.87971078,29.91829409,74.80419742,7.877242615,0.751586259,1.171890615,0.64945707,0.799151464
High_intensity,b,92,38.55707681,39.16782243,98.04183931,9.153645263,0.892360541,1.086305866,0.791353473,0.996600218
High_intensity,c,92,41.1801236,29.98588762,96.24028976,9.863644328,0.744491766,0.982649856,0.577710368,0.804196774
High_intensity,d,92,39.98309731,30.82227215,95.34973623,8.759425855,0.597750352,0.901026326,0.604714786,0.801569325
High_intensity,e,92,43.09217531,38.11130446,76.24283135,7.986252755,0.763150553,0.993116683,0.592785235,0.834203496
Low_intensity,f,92,30.28040442,22.16243833,64.64692579,8.187381714,0.830191123,1.020989043,0.539098807,0.713318899
Low_intensity,g,92,23.23693848,18.65949349,57.91881836,7.499593301,0.727268862,0.883229846,0.485984866,0.650501629
Low_intensity,h,92,32.00237535,26.23165357,63.44433735,8.751625262,1.031954546,1.321631987,0.637335831,0.81154662
Low_intensity,i,92,50.3670228,31.47476343,96.0448141,10.99940279,0.902231088,1.042106645,0.549494459,0.716529673
Low_intensity,j,92,15.51528103,12.28384284,41.17973335,5.4989055,0.659309997,0.836987695,0.483580072,0.674697672
High_intensity,a,238,15.54651128,10.3188136,53.26859249,4.952732669,0.627487787,0.957287859,0.55803713,0.77470518
High_intensity,b,238,23.97446956,13.42269175,80.69738635,5.540654166,0.83830926,1.137457198,0.815871172,1.03835971
High_intensity,c,238,14.47593431,8.248593242,56.80617651,3.614165919,0.606282554,0.680411661,0.539234449,0.657130361
High_intensity,d,238,12.8471258,8.024631968,51.10035179,3.309079718,0.533654441,0.806543989,0.513416702,0.781155155
High_intensity,e,238,20.84496171,10.09928579,64.76054454,3.724190231,0.740311119,1.095354101,0.626061942,0.791831913
Low_intensity,f,238,11.64176945,6.038948194,43.97103257,3.940757761,0.614418938,0.853315695,0.471246644,0.630687685
Low_intensity,g,238,8.019491837,5.068573217,35.05407795,3.118014493,0.464907681,0.727811976,0.378928452,0.533159409
Low_intensity,h,238,12.28730795,7.81518875,34.71649657,3.844404673,0.770763518,1.122582339,0.608413328,0.846589967
Low_intensity,i,238,14.47608511,5.318894289,59.93664482,4.469478691,0.719629939,0.983758477,0.563350215,0.737798584
Low_intensity,j,238,11.7841929,5.953136522,46.17691092,4.331133187,0.502374616,0.579109989,0.334294582,0.405202781