LUI,Plot,Necro,Element,Bulk,Fine
High intensity,a,Leaves,Carbon,27.16707512,21.43668782
High intensity,b,Leaves,Carbon,25.06140173,16.42488258
High intensity,c,Leaves,Carbon,25.07617771,28.45647968
High intensity,d,Leaves,Carbon,51.56373177,32.6517931
High intensity,e,Leaves,Carbon,24.341031,36.08065446
Low intensity,a,Leaves,Carbon,26.9566103,22.54115801
Low intensity,b,Leaves,Carbon,36.07268819,27.30582512
Low intensity,c,Leaves,Carbon,33.14369412,27.02302966
Low intensity,d,Leaves,Carbon,41.31258457,36.55289178
Low intensity,e,Leaves,Carbon,42.60503619,27.21755597
High intensity,a,Microbial,Carbon,35.22901605,23.68630492
High intensity,b,Microbial,Carbon,18.1778353,22.12970637
High intensity,c,Microbial,Carbon,32.96500777,28.89102025
High intensity,d,Microbial,Carbon,34.59181518,28.41228959
High intensity,e,Microbial,Carbon,34.8351063,28.42280061
Low intensity,a,Microbial,Carbon,25.73887896,31.70911223
Low intensity,b,Microbial,Carbon,26.59433559,34.20167775
Low intensity,c,Microbial,Carbon,21.19208711,37.51250413
Low intensity,d,Microbial,Carbon,31.27153748,42.39891358
Low intensity,e,Microbial,Carbon,37.40555073,36.26239142
High intensity,a,Roots,Carbon,72.15505075,20.89908621
High intensity,b,Roots,Carbon,44.77847827,14.14649802
High intensity,c,Roots,Carbon,61.55098285,18.10738548
High intensity,d,Roots,Carbon,47.76496045,19.81985505
High intensity,e,Roots,Carbon,43.22362016,35.14772372
Low intensity,a,Roots,Carbon,43.86695987,28.07006637
Low intensity,b,Roots,Carbon,28.5362744,32.63145935
Low intensity,c,Roots,Carbon,41.49176442,26.73070087
Low intensity,d,Roots,Carbon,46.42543276,29.92399683
Low intensity,e,Roots,Carbon,42.97131389,26.02641955
High intensity,a,Leaves,Nitrogen,73.24344128,63.55123447
High intensity,b,Leaves,Nitrogen,76.38920833,52.40286866
High intensity,c,Leaves,Nitrogen,92.18942642,55.66123321
High intensity,d,Leaves,Nitrogen,98.91412534,56.69987171
High intensity,e,Leaves,Nitrogen,49.11122451,47.94474283
Low intensity,a,Leaves,Nitrogen,88.00374667,82.39995638
Low intensity,b,Leaves,Nitrogen,81.74469826,86.48644439
Low intensity,c,Leaves,Nitrogen,98.89314005,82.20110005
Low intensity,d,Leaves,Nitrogen,81.0344295,112.0076599
Low intensity,e,Leaves,Nitrogen,95.42572006,68.1502872
High intensity,a,Microbial,Nitrogen,93.31238601,74.04960894
High intensity,b,Microbial,Nitrogen,79.76814308,63.5527882
High intensity,c,Microbial,Nitrogen,59.3628014,50.11113351
High intensity,d,Microbial,Nitrogen,98.677906,66.87024017
High intensity,e,Microbial,Nitrogen,76.40543748,55.5699127
Low intensity,a,Microbial,Nitrogen,85.25210276,80.90360699
Low intensity,b,Microbial,Nitrogen,79.95014307,86.12633521
Low intensity,c,Microbial,Nitrogen,84.97161899,93.60730361
Low intensity,d,Microbial,Nitrogen,83.47568504,107.078554
Low intensity,e,Microbial,Nitrogen,83.69727799,75.88877427
High intensity,a,Roots,Nitrogen,136.0898949,78.29629335
High intensity,b,Roots,Nitrogen,69.48656274,50.77977414
High intensity,c,Roots,Nitrogen,112.197274,73.33166031
High intensity,d,Roots,Nitrogen,107.4986504,64.51455165
High intensity,e,Roots,Nitrogen,83.86649936,102.2661774
Low intensity,a,Roots,Nitrogen,100.8471568,104.9895686
Low intensity,b,Roots,Nitrogen,76.06982813,121.0601096
Low intensity,c,Roots,Nitrogen,66.44066578,90.70849752
Low intensity,d,Roots,Nitrogen,82.41856127,117.5047402
Low intensity,e,Roots,Nitrogen,80.52158391,74.45475997